,Date,Name,Text,Hashtags
114,2020-07-15 13:50:05+00:00,nytimes,"At the height of Black Lives Matter protests in New York City, the police were repeatedly filmed using force against peaceful protesters. We reviewed more than 60 videos. In many, force did not appear warranted. This thread contains scenes of violence. https://nyti.ms/32kZynW",
115,2020-07-15 11:00:04+00:00,nytimes,"A statue of Jen Reid, a Black Lives Matter protester, now stands in place of a monument to the 17th-century slave trader Edward Colston in Bristol, England ",
116,2020-07-13 18:40:04+00:00,nytimes,"“I just feel like it’s a slap in the face for Black people.” The debate over whether to allow a Black Lives Matter painting directly on Main Street in Catskill, New York, has only exacerbated racial tensions in the village. ",
117,2020-07-12 21:30:12+00:00,nytimes,Jenna Wortham and Wesley Morris are back for 3 summer episodes of “Still Processing.” Listen in as they reflect on the uprisings and resurgence of the Black Lives Matter movement. ,
118,2020-07-11 16:20:03+00:00,nytimes,"The arrest of an activist in Arizona at a Black Lives Matter protest shows that despite all the victories immigrant rights activists have claimed in recent years, they are far from achieving their version of justice they are fighting for. ",
119,2020-07-10 21:20:07+00:00,nytimes,"The death of Robert Fuller, a Black man who was found hanging from a tree in California this summer, has been confirmed a suicide, officials say. Fuller’s death is one of 2 recent hangings in the state to draw scrutiny amid Black Lives Matter protests. ",
120,2020-07-09 20:28:06+00:00,nytimes,"Watch as workers and activists painted the words “Black Lives Matter” in front of Trump Tower in Manhattan on Thursday, joined by Mayor Bill de Blasio of New York, the city’s first lady, Chirlane McCray, and the Rev. Al Sharpton. Read more. https://nyti.ms/3fdCKKg",
121,2020-07-09 18:00:14+00:00,nytimes,New York City began painting “Black Lives Matter” in large yellow letters on the street outside Trump Tower on Thursday. City officials have presented the public art project’s location as a direct rebuke of President Trump. ,
122,2020-07-08 15:20:05+00:00,nytimes,"2 white people in Martinez, California, were charged on Tuesday with a hate crime and other offenses after video appeared to show them vandalizing a Black Lives Matter mural on July 4, officials said ",
123,2020-07-06 05:00:07+00:00,nytimes,"The police in Martinez, California, said that they were seeking 2 white people who were seen vandalizing a Black Lives Matter mural less than an hour after it was painted in front of a courthouse ",
124,2020-07-06 04:00:14+00:00,nytimes,"A police detective in Springfield, Massachusetts, said she was fired after sharing a photo of her niece at a Black Lives Matter protest on Instagram ",
125,2020-07-04 09:29:06+00:00,nytimes,"""The image of George Floyd’s death was so visceral, so violent."" Some Africans are invoking the Black Lives Matter movement to call attention to abuses in their own countries and demand that the police be held to account. ",
126,2020-07-04 00:31:06+00:00,nytimes,"“People came out because they recognize that violence in their own communities.” Outrage over George Floyd’s death has rippled throughout Africa, with protesters invoking the Black Lives Matter movement to call attention to abuses in their own countries. https://nyti.ms/3dUm5tF",
127,2020-07-03 15:34:12+00:00,nytimes,“Tu lucha es mi lucha” decían en español varios carteles en una protesta reciente de Black Lives Matter. Muchos latinos apoyan las protestas Black Lives Matter al tiempo que piden que se reconozca el racismo sistémico que también enfrentan. ,
128,2020-07-03 14:02:07+00:00,nytimes,"“Tu lucha es mi lucha,” several signs read at a recent Black Lives Matter protest in Arizona. Your struggle is my struggle. Many Latinos are backing Black Lives Matter protests, while pushing for an acknowledgment of the systemic racism they face. ",
129,2020-07-03 13:11:38+00:00,nytimes,"Unlike with past Black Lives Matter protests, nearly 95% of counties that had a protest recently are majority white, and nearly three-quarters of the counties are more than 75% white. https://nyti.ms/2BXvL9D",
130,2020-07-03 13:11:36+00:00,nytimes,"There have been more than 4,700 demonstrations during the recent Black Lives Matter protests, an average of 140 per day. Estimates suggest there could have been as many as 26 million people who participated. ",
